customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
12346.0,1,325,77183.6,4,4,1,441
12347.0,182,2,4310.0,1,1,1,111
12348.0,27,75,1437.2400000000002,3,3,2,332
12349.0,72,18,1457.55,2,2,2,222
12350.0,16,310,294.4000000000001,4,4,4,444
12352.0,77,36,1385.7400000000002,2,2,2,222
12353.0,4,204,89.0,4,4,4,444
12354.0,58,232,1079.4,4,2,2,422
12355.0,13,214,459.4,4,4,3,443
12356.0,58,22,2487.4300000000003,2,2,1,221
12357.0,131,33,6207.67,2,1,1,211
12358.0,17,1,928.0600000000001,1,4,2,142
12359.0,245,57,6310.029999999999,3,1,1,311
12360.0,126,52,2302.06,3,1,1,311
12361.0,9,287,174.9,4,4,4,444
12362.0,256,3,4737.23,1,1,1,111
12363.0,23,109,551.9999999999999,3,3,3,333
12364.0,81,7,1208.1000000000001,1,2,2,122
12365.0,21,291,320.69,4,3,3,433
12367.0,10,4,150.9,1,4,4,144
12370.0,165,51,3421.9399999999996,3,1,1,311
12371.0,62,59,1527.9599999999998,3,2,2,322
12372.0,49,71,1196.0400000000002,3,2,2,322
12373.0,13,311,324.6,4,4,3,443
12374.0,32,25,622.9300000000001,2,3,3,233
12375.0,15,10,377.50000000000006,1,4,3,143
12377.0,76,315,1548.1200000000003,4,2,2,422
12378.0,219,129,4008.6200000000003,3,1,1,311
12379.0,38,81,777.2399999999999,3,3,2,332
12380.0,100,21,2427.8100000000004,2,1,1,211
12381.0,82,4,1474.81,1,2,2,122
12383.0,94,184,1628.5600000000004,4,2,2,422
12384.0,25,28,425.27,2,3,3,233
12386.0,10,337,401.9,4,4,3,443
12388.0,100,15,2780.6599999999994,1,1,1,111
12390.0,31,79,504.84,3,3,3,333
12391.0,93,21,439.65999999999997,2,2,3,223
12393.0,64,72,1582.6000000000001,3,2,2,322
12394.0,25,63,1080.4800000000002,3,3,2,332
12395.0,144,19,2682.63,2,1,1,211
12397.0,124,35,2214.8999999999996,2,1,1,211
12398.0,84,45,1435.6599999999999,2,2,2,222
12399.0,55,119,1033.6499999999999,3,2,2,322
12401.0,4,303,69.3,4,4,4,444
12402.0,10,323,195.60000000000002,4,4,4,444
12403.0,4,49,391.7,2,4,3,243
12405.0,53,148,1390.39,4,2,2,422
12406.0,105,22,3415.3,2,1,1,211
12407.0,72,49,1507.1200000000001,2,2,2,222
12408.0,101,32,2618.55,2,1,1,211
12409.0,109,78,11072.670000000002,3,1,1,311
12410.0,25,308,533.3299999999999,4,3,3,433
12412.0,58,74,1142.88,3,2,2,322
12413.0,36,66,686.1000000000001,3,3,2,332
12414.0,15,217,442.4100000000001,4,4,3,443
12415.0,715,24,124564.53,2,1,1,211
12417.0,183,3,3226.100000000001,1,1,1,111
12418.0,34,112,668.5799999999999,3,3,2,332
12420.0,29,63,600.39,3,3,3,333
12421.0,41,15,639.04,1,3,3,133
12422.0,38,95,683.56,3,3,2,332
12423.0,117,0,1634.3100000000004,1,1,1,111
12424.0,30,162,1760.9599999999996,4,3,1,431
12425.0,36,78,777.2,3,3,2,332
12426.0,29,194,510.7299999999999,4,3,3,433
12427.0,28,21,699.8000000000001,2,3,2,232
12428.0,287,25,6405.26,2,1,1,211
12429.0,94,9,3388.4000000000005,1,2,1,121
12430.0,10,43,216.39999999999998,2,4,4,244
12431.0,233,35,6314.95,2,1,1,211
12432.0,107,42,4359.32,2,1,1,211
12433.0,420,0,13375.87,1,1,1,111
12434.0,50,84,806.14,3,2,2,322
12435.0,36,79,7829.89,3,3,1,331
12436.0,15,99,429.0100000000001,3,4,3,343
12437.0,184,1,4447.41,1,1,1,111
12438.0,96,14,2466.8500000000004,1,2,1,121
12441.0,10,366,155.55,4,4,4,444
12442.0,11,3,144.06,1,4,4,144
12444.0,173,21,4085.46,2,1,1,211
12445.0,3,22,77.4,2,4,4,244
12446.0,57,57,1002.3100000000001,3,2,2,322
12447.0,25,243,431.49,4,3,3,433
12448.0,21,44,365.45000000000005,2,3,3,233
12449.0,187,22,3596.2900000000004,2,1,1,211
12450.0,8,156,197.88000000000002,4,4,4,444
12451.0,353,10,8995.52,1,1,1,111
12452.0,20,16,348.57000000000005,1,3,3,133
12453.0,43,134,707.09,3,2,2,322
12454.0,15,56,3528.3400000000006,3,4,1,341
12455.0,85,73,2339.8599999999997,3,2,1,321
12456.0,122,44,2581.04,2,1,1,211
12457.0,60,66,2043.2300000000002,3,2,1,321
12458.0,36,71,787.4000000000001,3,3,2,332
12461.0,34,154,626.8800000000001,4,3,3,433
12462.0,60,18,937.59,2,2,2,222
12463.0,79,53,1200.78,3,2,2,322
12464.0,22,10,957.0499999999998,1,3,2,132
12465.0,45,17,682.19,1,2,2,122
12468.0,36,187,657.5400000000002,4,3,3,433
12471.0,438,2,17388.65,1,1,1,111
12472.0,332,32,6068.110000000001,2,1,1,211
12473.0,160,53,2585.73,3,1,1,311
12474.0,406,17,6694.09,1,1,1,111
12475.0,35,53,669.38,3,3,2,332
12476.0,224,15,5898.42,1,1,1,111
12477.0,300,22,13219.74,2,1,1,211
12478.0,35,3,545.99,1,3,3,133
12479.0,30,11,473.2000000000001,1,3,3,133
12480.0,150,28,2885.63,2,1,1,211
12481.0,208,22,5003.82,2,1,1,211
12483.0,68,17,1910.98,1,2,1,121
12484.0,339,35,3939.32,2,1,1,211
12488.0,54,9,1244.6600000000003,1,2,2,122
12489.0,14,336,298.93,4,4,4,444
12490.0,235,5,4859.93,1,1,1,111
12491.0,25,38,424.4000000000001,2,3,3,233
12492.0,18,63,227.21,3,3,4,334
12493.0,21,165,415.73999999999995,4,3,3,433
12494.0,71,15,1084.1000000000004,1,2,2,122
12497.0,13,81,953.1,3,4,2,342
12498.0,21,21,349.7000000000001,2,3,3,233
12500.0,52,23,4059.8199999999997,2,2,1,221
12501.0,148,336,2025.3900000000003,4,1,1,411
12502.0,142,95,2995.87,3,1,1,311
12504.0,8,18,428.04999999999995,2,4,3,243
12506.0,23,232,73.5,4,3,4,434
12507.0,20,134,1052.81,3,3,2,332
12508.0,68,26,397.88,2,2,3,223
12509.0,6,284,158.5,4,4,4,444
12510.0,31,142,814.5699999999998,3,3,2,332
12512.0,31,66,132.18,3,3,4,334
12513.0,34,112,558.29,3,3,3,333
12514.0,51,267,1017.6800000000001,4,2,2,422
12515.0,15,353,278.7,4,4,4,444
12516.0,24,77,1186.06,3,3,2,332
12517.0,276,28,2301.6,2,1,1,211
12518.0,119,0,1840.8900000000003,1,1,1,111
12519.0,16,63,276.84000000000003,3,4,4,344
12520.0,147,79,2346.26,3,1,1,311
12521.0,37,142,545.6800000000001,3,3,3,333
12522.0,10,39,156.72,2,4,4,244
12523.0,102,19,1699.7700000000002,2,1,1,211
12524.0,136,9,3945.72,1,1,1,111
12526.0,68,0,1172.6600000000003,1,2,2,122
12527.0,17,81,330.71000000000004,3,4,3,343
12528.0,86,9,1645.4800000000002,1,2,1,121
12530.0,62,59,1500.2799999999997,3,2,2,322
12531.0,17,14,125.22,1,4,4,144
12532.0,15,30,313.83000000000004,2,4,3,243
12534.0,62,130,981.18,3,2,2,322
12535.0,34,91,716.35,3,3,2,332
12536.0,259,59,4279.710000000001,3,1,1,311
12538.0,21,29,363.95,2,3,3,233
12539.0,273,22,5568.35,2,1,1,211
12540.0,461,19,11580.24,2,1,1,211
12541.0,49,29,841.18,2,2,2,222
12544.0,18,36,316.70000000000005,2,3,3,233
12545.0,48,75,832.39,3,2,2,322
12546.0,67,46,1021.5000000000001,2,2,2,222
12547.0,6,197,151.79999999999998,4,4,4,444
12548.0,4,166,67.19999999999999,4,4,4,444
12550.0,56,79,824.8299999999999,3,2,2,322
12551.0,10,357,168.0,4,4,4,444
12552.0,19,39,317.81999999999994,2,3,3,233
12553.0,182,8,3278.28,1,1,1,111
12556.0,119,50,599.5600000000002,2,1,3,213
12557.0,33,16,11990.960000000001,1,3,1,131
12558.0,11,7,269.96,1,4,4,144
12559.0,20,310,525.71,4,3,3,433
12560.0,103,5,1918.01,1,1,1,111
12561.0,16,302,238.85,4,4,4,444
12562.0,161,8,3385.74,1,1,1,111
12564.0,20,261,402.90000000000003,4,3,3,433
12565.0,9,288,145.92000000000002,4,4,4,444
12566.0,18,86,297.65,3,3,4,334
12567.0,438,22,8609.280000000002,2,1,1,211
12569.0,157,2,3152.6900000000005,1,1,1,111
12571.0,34,39,519.61,2,3,3,233
12572.0,58,8,912.42,1,2,2,122
12573.0,28,227,160.54,4,3,4,434
12574.0,10,315,182.45000000000002,4,4,4,444
12576.0,88,35,1315.8300000000002,2,2,2,222
12577.0,145,35,622.65,2,1,3,213
12578.0,112,21,2402.51,2,1,1,211
12579.0,28,78,386.41999999999996,3,3,3,333
12580.0,23,246,379.7,4,3,3,433
12581.0,14,39,179.71,2,4,4,244
12582.0,20,238,351.35999999999996,4,3,3,433
12583.0,232,2,6705.38,1,1,1,111
12584.0,95,3,2254.1499999999987,1,2,1,121
12585.0,85,234,1824.1000000000004,4,2,1,421
12586.0,11,17,196.94,1,4,4,144
12587.0,3,7,104.0,1,4,4,144
12588.0,9,39,174.9,2,4,4,244
12589.0,33,28,574.6800000000001,2,3,3,233
12590.0,67,211,9341.259999999998,4,2,1,421
12591.0,25,317,368.84999999999997,4,3,3,433
12592.0,16,92,401.6,3,4,3,343
12593.0,20,108,382.1,3,3,3,333
12594.0,114,37,3208.2200000000003,2,1,1,211
12596.0,25,51,450.27,3,3,3,333
12597.0,202,19,3195.2200000000003,2,1,1,211
12598.0,127,9,2807.0800000000004,1,1,1,111
12599.0,55,29,888.5800000000002,2,2,2,222
12600.0,54,28,2311.0399999999995,2,2,1,221
12601.0,23,189,487.06,4,3,3,433
12602.0,12,58,153.12,3,4,4,344
12603.0,1,21,613.1999999999998,2,4,3,243
12604.0,15,79,236.17999999999995,3,4,4,344
12607.0,101,60,1579.51,3,1,2,312
12609.0,57,78,964.85,3,2,2,322
12610.0,102,22,1747.5400000000002,2,1,1,211
12611.0,65,52,1193.3200000000002,3,2,2,322
12612.0,18,74,668.0400000000001,3,3,2,332
12613.0,149,57,3092.3799999999997,3,1,1,311
12614.0,20,277,315.59999999999997,4,3,3,433
12615.0,101,2,2093.1900000000005,1,1,1,111
12616.0,30,95,641.3,3,3,3,333
12617.0,41,29,352.97999999999996,2,3,3,233
12618.0,10,21,137.31,2,4,4,244
12619.0,82,16,2945.56,1,2,1,121
12620.0,91,14,1303.41,1,2,2,122
12621.0,449,1,12411.670000000002,1,1,1,111
12622.0,10,232,162.10000000000002,4,4,4,444
12623.0,17,276,269.1,4,4,4,444
12624.0,36,106,569.13,3,3,3,333
12625.0,84,211,2413.82,4,2,1,421
12626.0,285,23,5954.48,2,1,1,211
12627.0,224,10,4082.5300000000007,1,1,1,111
12628.0,38,4,732.46,1,3,2,132
12630.0,62,9,1030.88,1,2,2,122
12631.0,30,57,480.5,3,3,3,333
12633.0,97,58,1929.98,3,2,1,321
12635.0,99,89,1509.1800000000003,3,1,2,312
12637.0,379,67,5804.9,3,1,1,311
12638.0,38,33,511.69000000000005,2,3,3,233
12639.0,21,238,366.09999999999997,4,3,3,433
12640.0,50,23,994.58,2,2,2,222
12641.0,9,115,145.9,3,4,4,344
12642.0,44,25,905.2600000000001,2,2,2,222
